group,metric,n,mean,std,median,q25,q75,iqr
ALL,mean_pairwise_jaccard,28,0.14905301350649663,0.16732109700045514,0.08749999999999995,0.0228632478632478,0.2044448277844862,0.18158157992123838
ALL,n_selection_stable,28,3.642857142857143,4.373440765230979,2.0,0.0,5.0,5.0
ALL,n_isr_retained,28,1.8214285714285714,2.8421897065541435,0.0,0.0,3.0,3.0
ALL,isr_sparsification,17,0.5546308266896502,0.3523900163271073,0.6,0.25,0.8571428571428572,0.6071428571428572
ALL,agnam_minus_main_auroc,28,0.0024368688765376172,0.016321625426220763,0.0,0.0,0.0010029736279622836,0.0010029736279622836
ALL,agnam_minus_no_isr_auroc,28,-0.006306040303510095,0.024657221764447918,0.0,-0.0013542433479369342,0.0,0.0013542433479369342
ALL,agnam_minus_ebm_auroc,28,-0.01501148659168483,0.026285192909828684,-0.008549962582220627,-0.02747506946608,0.000531534869571415,0.028006604335651414
ALL,agnam_minus_catboost_auroc,28,-0.007610100081608653,0.028391092677186123,-0.005243329961008292,-0.012815786364173493,0.007411569278874347,0.02022735564304784
numeric,mean_pairwise_jaccard,15,0.12069474497977538,0.18197274154681456,0.0779176243572528,0.014439946018893349,0.11475885690656484,0.10031891088767149
numeric,n_selection_stable,15,2.1333333333333333,2.5597618936887376,1.0,0.0,5.0,5.0
numeric,n_isr_retained,15,0.7333333333333333,1.0997835284835873,0.0,0.0,1.0,1.0
numeric,isr_sparsification,8,0.6154761904761905,0.3440620362772624,0.6333333333333333,0.4,0.8928571428571429,0.4928571428571429
numeric,agnam_minus_main_auroc,15,-0.0024364201563653303,0.01611705846190667,0.0,-0.0004364525139665121,0.0,0.0004364525139665121
numeric,agnam_minus_no_isr_auroc,15,-0.008055759330649843,0.032813094384221086,0.0,-0.0009104970457530781,0.0,0.0009104970457530781
numeric,agnam_minus_ebm_auroc,15,-0.0054310867505095025,0.02541943747169929,-0.00043402777777801216,-0.008799435776138564,0.00846160703672888,0.017261042812867444
numeric,agnam_minus_catboost_auroc,15,-0.00822919119164062,0.027003619418258986,-0.002777777777777768,-0.012825077385173078,0.008176702407533487,0.021001779792706565
mixed,mean_pairwise_jaccard,10,0.18935962471612328,0.16552619299643975,0.17067251461988298,0.030015063544475248,0.31453247670924167,0.2845174131647664
mixed,n_selection_stable,10,5.2,5.7115866641610396,4.0,0.25,8.0,7.75
mixed,n_isr_retained,10,2.4,3.306559138036598,0.5,0.0,3.75,3.75
mixed,isr_sparsification,7,0.6114163614163614,0.34514429427150267,0.75,0.27884615384615385,0.875,0.5961538461538461
mixed,agnam_minus_main_auroc,10,0.009920798349382042,0.017100808676987173,0.0003533606322645988,0.0,0.014938314232339656,0.014938314232339656
mixed,agnam_minus_no_isr_auroc,10,-0.005584953202213627,0.011400358520554207,-0.0009041366751347812,-0.006335068042226999,0.0,0.006335068042226999
mixed,agnam_minus_ebm_auroc,10,-0.03302304238677676,0.02241270198780313,-0.03233538317689777,-0.0488477089423095,-0.016868770764119717,0.03197893817818978
mixed,agnam_minus_catboost_auroc,10,-0.007217910572038422,0.03571046303517312,-0.008446780596482184,-0.022326007326007175,0.008229105595726732,0.030555112921733907
categorical,mean_pairwise_jaccard,3,0.15648898544134734,0.09284144841456338,0.1412301288462279,0.10672617553422506,0.1986223670509099,0.09189619151668485
categorical,n_selection_stable,3,6.0,5.291502622129181,8.0,4.0,9.0,5.0
categorical,n_isr_retained,3,5.333333333333333,4.725815626252609,7.0,3.5,8.0,4.5
categorical,isr_sparsification,2,0.11249999999999995,0.017677669529663764,0.11249999999999995,0.10624999999999993,0.11874999999999997,0.012500000000000039
categorical,agnam_minus_main_auroc,3,0.0018568824649042674,0.0018397058946036284,0.0018917307182615417,0.0009458653591307709,0.002785323697356401,0.0018394583382256302
categorical,agnam_minus_no_isr_auroc,3,3.893116120042469e-05,0.00010378207479660583,0.0,-1.987808110259781e-05,7.827482290323484e-05,9.815290400583265e-05
categorical,agnam_minus_ebm_auroc,3,-0.0028749664805883812,0.0035190252828661223,-0.002047442353564799,-0.004390724543785807,-0.0009454463538791646,0.003445278189906642
categorical,agnam_minus_catboost_auroc,3,-0.005821942896682919,0.0055095882392801115,-0.006324542804134414,-0.008693776933572817,-0.003201408813518769,0.0054923681200540475
